locationid;sessionid;groupid;recordid;start_time;end_time;latitude;longitude;language;survey_version;ssi01;ssi02;ssi03;ssi04;pleasant;chaotic;vibrant;uneventful;calm;annoying;eventful;monotonous;sss01;sss02;sss03;sss04;sss05;who01;who02;who03;who04;who05;who_sum;age00;gen00;edu00;eth00;occ00;eth00_other;occ00_other;misc03;misc03_other;misc01;use00;uni00;recordinglength;lzeq_l;lzeq_min;lzeq_max;lzeq_l5;lzeq_l10;lzeq_l50;lzeq_l90;lzeq_l95;lceq_l(c);lceq_min(c);lceq_max(c);lceq_l5(c);lceq_l10(c);lceq_l50(c);lceq_l90(c);lceq_l95(c);laeq_l(a);laeq_min(a);laeq_max(a);laeq_l5(a);laeq_l10(a);laeq_l50(a);laeq_l90(a);laeq_l95(a);n_n5;n_min;n_max;n_n10;n_n50;n_n90;n_n95;s_s;s_min;s_max;s_s5;s_s10;s_s50;s_s90;s_s95;r_r;r_min;r_max;r_r5;r_r10;r_r50;r_r90;r_r95;t_tonalityhms;t_min;t_max;t_t5;t_t10;t_t50;t_t90;t_t95;fs_f;fs_min;fs_max;fs_f5;fs_f10;fs_f50;fs_f90;fs_f95;i_i;i_min;i_max;i_i5;i_i10;i_i50;i_i90;i_i95;sil4_sil(rms);sil4_sil(av);sil4_min;sil4_max;sil4_sil5;sil4_sil10;sil4_sil50;sil4_sil90;sil4_sil95;ra_cp;ra_min;ra_max;ra_cp5;ra_cp10;ra_cp50;ra_cp90;ra_cp95;thd_thd;thd_min;thd_max;thd_l5;thd_l10;thd_l50;thd_l90;thd_l95
PingshanPark;PingshanPark1;PP1045;2;2019-03-26 12:33:00;;;;cmn;cmnSSIDv3;2,0;5,0;2,0;3,0;2,0;3,0;3,0;4,0;2,0;2,0;4,0;4,0;2,0;1,0;4,0;3,0;3,0;2,0;2,0;2,0;2,0;1,0;36,0;27,0;Female;SomePostgraduate;;Student;;;;;;;Alone;253,03;73,51;69,08;80,52;75,38;74,84;73,2;71,82;71,46;70,9;66,59;78,86;73,05;72,23;70,46;69,15;68,75;63,15;55,11;76,24;67,29;66,16;61,62;59,17;58,52;20,8;0,0;32,1;19,3;15,3;13,3;12,8;2,06;0,0;3,89;2,51;2,38;1,99;1,83;1,8;0,0286;0,0124;0,111;0,0408;0,0375;0,0278;0,0206;0,019;0,225;0,0;2,07;0,632;0,475;0,144;0,0305;0,0188;0,0276;0,00524;0,0854;0,0565;0,0494;0,0251;0,0105;0,00827;0,358;0,102;1,19;0,542;0,483;0,338;0,263;0,243;56,04;54,4;47,14;65,76;59,55;58,34;53,92;51,47;50,76;13,3;0,483;84,2;31,6;25,5;10,7;4,66;3,68;-2,85;-2,51;66,02;37,88;32,83;10,39;-1,06;-1,81
PingshanPark;PingshanPark2;PP2062;2;2019-03-30 09:40:00;;;;cmn;cmnSSIDv3;2,0;2,0;5,0;3,0;5,0;4,0;5,0;2,0;1,0;3,0;4,0;2,0;3,0;3,0;2,0;3,0;3,0;4,0;3,0;3,0;3,0;4,0;68,0;25,0;Female;SomePostgraduate;;Student;;;;;;Arriving;Group;42,87;77,07;69,29;85,68;82,07;80,39;75,28;71,62;71,08;76,61;67,56;85,65;81,58;80,07;74,69;70,81;70,14;75,23;63,86;85,53;80,64;78,99;72,5;66,94;66,23;39,3;0,0;56,9;36,0;25,6;20,1;19,1;2,49;0,0;3,65;3,04;2,9;2,43;2,18;2,11;0,0373;0,015;0,178;0,0565;0,0504;0,0356;0,0253;0,0229;0,783;0,0;3,38;1,91;1,48;0,676;0,214;0,161;0,0573;0,011;0,153;0,12;0,099;0,053;0,0207;0,0159;0,378;0,127;0,865;0,601;0,53;0,361;0,26;0,225;67,34;64,73;56,01;76,99;71,84;70,42;64,51;59,46;58,82;22,1;1,41;92,6;46,3;38,7;19,1;8,73;7,0;-0,11;-5,31;62,69;50,08;41,06;15,89;-2,17;-3,21
PingshanPark;PingshanPark1;PP1045;3;2019-03-26 12:33:00;;;;cmn;cmnSSIDv3;2,0;1,0;2,0;4,0;4,0;2,0;4,0;5,0;4,0;1,0;2,0;3,0;3,0;4,0;1,0;3,0;3,0;3,0;4,0;4,0;4,0;3,0;72,0;38,0;Male;HighSchoolGraduate;;Employed;;;;;;;Alone;253,03;73,51;69,08;80,52;75,38;74,84;73,2;71,82;71,46;70,9;66,59;78,86;73,05;72,23;70,46;69,15;68,75;63,15;55,11;76,24;67,29;66,16;61,62;59,17;58,52;20,8;0,0;32,1;19,3;15,3;13,3;12,8;2,06;0,0;3,89;2,51;2,38;1,99;1,83;1,8;0,0286;0,0124;0,111;0,0408;0,0375;0,0278;0,0206;0,019;0,225;0,0;2,07;0,632;0,475;0,144;0,0305;0,0188;0,0276;0,00524;0,0854;0,0565;0,0494;0,0251;0,0105;0,00827;0,358;0,102;1,19;0,542;0,483;0,338;0,263;0,243;56,04;54,4;47,14;65,76;59,55;58,34;53,92;51,47;50,76;13,3;0,483;84,2;31,6;25,5;10,7;4,66;3,68;-2,85;-2,51;66,02;37,88;32,83;10,39;-1,06;-1,81
PingshanPark;PingshanPark2;PP2063;3;2019-03-30 09:43:00;;;;cmn;cmnSSIDv3;2,0;3,0;3,0;2,0;4,0;2,0;4,0;4,0;4,0;2,0;3,0;3,0;3,0;3,0;3,0;5,0;4,0;3,0;4,0;3,0;4,0;3,0;68,0;27,0;Female;SomeCollege;;Other;;;;;;Staying;Group;159,16;75,7;66,38;87,14;79,73;78,53;74,36;71,02;69,93;74,89;64,93;87,13;78,88;77,41;73,63;70,28;69,12;72,6;61,37;86,18;77,31;75,5;70,49;66,87;65,79;33,2;0,0;57,6;30,3;24,1;19,8;18,6;2,4;0,0;4,12;2,82;2,68;2,36;2,15;2,09;0,0367;0,0151;0,189;0,057;0,0497;0,0347;0,0251;0,023;0,693;0,0;3,34;1,71;1,41;0,554;0,177;0,118;0,0428;0,0078;0,264;0,11;0,0778;0,0321;0,017;0,0151;0,327;0,0629;1,11;0,535;0,452;0,307;0,225;0,204;65,39;63,25;54,38;77,57;69,15;67,36;62,95;59,59;58,49;17,4;1,02;108,0;40,0;30,6;14,3;7,54;6,21;-0,18;-6,0;63,28;47,69;39,54;13,73;-3,75;-4,48
PingshanPark;PingshanPark1;PP1047;6;2019-03-26 12:43:00;;;;cmn;cmnSSIDv3;3,0;3,0;3,0;5,0;3,0;3,0;4,0;4,0;4,0;3,0;3,0;3,0;2,0;3,0;2,0;4,0;4,0;2,0;3,0;2,0;2,0;2,0;44,0;49,0;Male;HighSchoolGraduate;;Employed;;;;;;;Alone;101,95;72,46;68,19;83,43;74,53;73,85;72,07;70,51;70,12;69,44;65,4;83,28;72,13;70,85;68,63;67,23;66,89;63,16;54,14;81,7;67,43;65,5;59,16;56,01;55,4;19,3;0,0;37,0;17,5;13,2;11,4;11,0;2,24;0,0;4,34;2,7;2,54;2,17;2,0;1,95;0,0251;0,0107;0,179;0,0375;0,0331;0,0237;0,0175;0,0162;0,225;0,0;3,46;0,607;0,445;0,14;0,0433;0,0304;0,038;0,00404;0,168;0,12;0,0866;0,0287;0,00796;0,00675;0,358;0,178;0,843;0,557;0,482;0,336;0,261;0,246;56,5;52,66;46,99;69,87;58,96;57,25;51,87;48,91;48,39;13,4;0,235;124,0;33,8;26,4;10,3;4,63;3,72;-3,52;-2,21;65,83;36,11;30,35;9,0;-0,37;-0,85
PingshanPark;PingshanPark2;PP2065;6;2019-03-30 09:52:00;;;;cmn;cmnSSIDv3;2,0;3,0;2,0;3,0;4,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;2,0;3,0;4,0;3,0;1,0;3,0;3,0;1,0;1,0;36,0;8,0;Male;SomeHighSchool;;Student;;;;;;Staying;Alone;215,3;74,05;66,63;88,74;78,24;76,95;72,15;68,96;68,23;72,89;65,02;88,75;77,23;75,98;70,95;67,83;67,06;69,99;60,81;86,94;74,3;72,77;67,73;64,25;63,61;29,1;0,0;49,7;27,2;20,3;17,1;16,4;2,39;0,0;3,88;2,78;2,68;2,36;2,14;2,08;0,0322;0,0107;0,0998;0,0468;0,0425;0,031;0,0231;0,0212;0,468;0,0;3,92;1,53;1,02;0,308;0,0804;0,0539;0,0376;0,00714;0,144;0,0799;0,065;0,0333;0,0148;0,0123;0,34;0,0221;1,5;0,492;0,437;0,324;0,252;0,236;62,71;60,65;53,72;74,76;65,94;64,67;60,22;57,12;56,53;15,9;0,654;93,8;33,5;27,5;13,7;6,86;5,65;-1,51;-7,36;62,89;45,5;38,12;12,28;-3,42;-5,07
PingshanPark;PingshanPark1;PP1047;7;2019-03-26 12:44:00;;;;cmn;cmnSSIDv3;3,0;2,0;3,0;3,0;3,0;4,0;4,0;4,0;2,0;3,0;3,0;3,0;3,0;2,0;3,0;2,0;3,0;3,0;2,0;2,0;2,0;2,0;44,0;48,0;Male;SomeCollege;;Employed;;;;;;;Alone;101,95;72,46;68,19;83,43;74,53;73,85;72,07;70,51;70,12;69,44;65,4;83,28;72,13;70,85;68,63;67,23;66,89;63,16;54,14;81,7;67,43;65,5;59,16;56,01;55,4;19,3;0,0;37,0;17,5;13,2;11,4;11,0;2,24;0,0;4,34;2,7;2,54;2,17;2,0;1,95;0,0251;0,0107;0,179;0,0375;0,0331;0,0237;0,0175;0,0162;0,225;0,0;3,46;0,607;0,445;0,14;0,0433;0,0304;0,038;0,00404;0,168;0,12;0,0866;0,0287;0,00796;0,00675;0,358;0,178;0,843;0,557;0,482;0,336;0,261;0,246;56,5;52,66;46,99;69,87;58,96;57,25;51,87;48,91;48,39;13,4;0,235;124,0;33,8;26,4;10,3;4,63;3,72;-3,52;-2,21;65,83;36,11;30,35;9,0;-0,37;-0,85
PingshanPark;PingshanPark2;PP2065;7;2019-03-30 09:52:00;;;;cmn;cmnSSIDv3;4,0;3,0;3,0;3,0;2,0;4,0;2,0;4,0;2,0;3,0;3,0;4,0;2,0;1,0;4,0;3,0;4,0;2,0;2,0;1,0;0,0;3,0;32,0;28,0;Female;SomeCollege;;Employed;;;;;;Staying;Group;215,3;74,05;66,63;88,74;78,24;76,95;72,15;68,96;68,23;72,89;65,02;88,75;77,23;75,98;70,95;67,83;67,06;69,99;60,81;86,94;74,3;72,77;67,73;64,25;63,61;29,1;0,0;49,7;27,2;20,3;17,1;16,4;2,39;0,0;3,88;2,78;2,68;2,36;2,14;2,08;0,0322;0,0107;0,0998;0,0468;0,0425;0,031;0,0231;0,0212;0,468;0,0;3,92;1,53;1,02;0,308;0,0804;0,0539;0,0376;0,00714;0,144;0,0799;0,065;0,0333;0,0148;0,0123;0,34;0,0221;1,5;0,492;0,437;0,324;0,252;0,236;62,71;60,65;53,72;74,76;65,94;64,67;60,22;57,12;56,53;15,9;0,654;93,8;33,5;27,5;13,7;6,86;5,65;-1,51;-7,36;62,89;45,5;38,12;12,28;-3,42;-5,07
PingshanPark;PingshanPark1;PP1048;8;2019-03-26 12:49:00;;;;cmn;cmnSSIDv3;3,0;2,0;3,0;4,0;2,0;4,0;4,0;2,0;2,0;3,0;3,0;2,0;3,0;2,0;3,0;3,0;3,0;4,0;4,0;4,0;4,0;4,0;80,0;29,0;Male;SomePostgraduate;;Student;;;;;;;Alone;87,53;72,27;67,06;77,7;74,19;73,7;72,06;70,41;69,99;68,79;65,27;77,04;70,47;69,96;68,51;67,22;66,87;61,28;54,42;76,77;65,95;64,04;58,55;56,17;55,69;16,9;0,0;30,9;15,9;12,8;11,3;11,0;2,16;0,0;4,45;2,62;2,45;2,11;1,95;1,92;0,0254;0,0118;0,0964;0,0361;0,0329;0,0248;0,0186;0,0173;0,236;0,0;2,71;0,705;0,533;0,152;0,0447;0,0322;0,0204;0,00466;0,102;0,0558;0,0406;0,0149;0,00804;0,00644;0,334;0,194;0,902;0,473;0,43;0,32;0,26;0,248;54,55;52,04;46,92;66,41;57,27;55,97;51,4;49,01;48,53;10,4;0,317;85,3;26,1;19,9;7,97;3,76;3,0;-4,32;-2,38;66,01;35,76;32,36;8,45;-1,19;-1,72
PingshanPark;PingshanPark2;PP2066;8;2019-03-30 09:57:00;;;;cmn;cmnSSIDv3;3,0;4,0;4,0;3,0;2,0;4,0;4,0;4,0;2,0;4,0;4,0;4,0;1,0;1,0;4,0;5,0;5,0;4,0;4,0;4,0;3,0;4,0;76,0;35,0;Female;HighSchoolGraduate;;Employed;;;;;;Leaving;Group;329,95;74,77;68,41;88,1;78,86;77,33;73,12;70,68;70,22;73,96;67,33;88,09;78,36;76,75;72,21;69,62;69,1;70,97;61,3;87,46;75,7;74,17;68,89;65,0;64,21;31,0;0,0;54,5;28,6;21,7;18,0;17,2;2,33;0,0;4,63;2,87;2,67;2,27;2,05;2,0;0,0352;0,0133;0,19;0,0527;0,0469;0,0336;0,0246;0,0226;0,385;0,0;4,07;1,19;0,838;0,236;0,0565;0,0358;0,0409;0,00519;0,239;0,093;0,0753;0,035;0,0156;0,0119;0,368;0,0436;1,88;0,615;0,492;0,334;0,258;0,24;63,45;61,42;53,82;75,38;67,08;65,81;61,11;57,55;56,74;17,1;0,523;117,0;39,2;31,4;14,0;6,88;5,6;-2,44;-0,54;64,12;46,32;38,06;16,76;0,57;0,28
PingshanPark;PingshanPark1;PP1049;9;2019-03-26 12:58:00;;;;cmn;cmnSSIDv3;2,0;2,0;5,0;2,0;3,0;4,0;4,0;3,0;2,0;2,0;3,0;3,0;2,0;3,0;2,0;4,0;4,0;3,0;3,0;3,0;4,0;4,0;68,0;49,0;Male;HighSchoolGraduate;;Employed;;;;;;;Couple;116,76;72,12;67,83;76,13;73,86;73,38;71,96;70,59;70,23;68,86;64,63;73,17;70,44;70,02;68,66;67,52;67,21;60,88;54,9;69,64;64,65;63,48;59,85;57,13;56,72;17,4;0,0;22,2;16,3;13,5;11,8;11,4;2,16;0,0;3,25;2,56;2,45;2,12;1,93;1,89;0,026;0,0105;0,0744;0,0375;0,0342;0,0251;0,0188;0,0174;0,239;0,0;2,45;0,664;0,506;0,169;0,0541;0,0376;0,0194;0,0066;0,0475;0,0336;0,0294;0,0179;0,0114;0,0104;0,337;0,192;0,805;0,455;0,421;0,33;0,261;0,248;54,08;52,76;47,73;60,68;56,85;55,86;52,55;50,03;49,6;11,0;0,36;50,0;22,6;18,9;9,67;4,73;3,83;-6,2;-2,81;65,66;36,4;31,81;7,0;-1,53;-2,19
PingshanPark;PingshanPark2;PP2066;9;2019-03-30 09:58:00;;;;cmn;cmnSSIDv3;4,0;4,0;3,0;3,0;3,0;3,0;3,0;3,0;2,0;2,0;2,0;2,0;3,0;3,0;3,0;4,0;4,0;2,0;3,0;2,0;3,0;2,0;48,0;32,0;Female;SomeCollege;;Unemployed;;;;;;Staying;Couple;329,95;74,77;68,41;88,1;78,86;77,33;73,12;70,68;70,22;73,96;67,33;88,09;78,36;76,75;72,21;69,62;69,1;70,97;61,3;87,46;75,7;74,17;68,89;65,0;64,21;31,0;0,0;54,5;28,6;21,7;18,0;17,2;2,33;0,0;4,63;2,87;2,67;2,27;2,05;2,0;0,0352;0,0133;0,19;0,0527;0,0469;0,0336;0,0246;0,0226;0,385;0,0;4,07;1,19;0,838;0,236;0,0565;0,0358;0,0409;0,00519;0,239;0,093;0,0753;0,035;0,0156;0,0119;0,368;0,0436;1,88;0,615;0,492;0,334;0,258;0,24;63,45;61,42;53,82;75,38;67,08;65,81;61,11;57,55;56,74;17,1;0,523;117,0;39,2;31,4;14,0;6,88;5,6;-2,44;-0,54;64,12;46,32;38,06;16,76;0,57;0,28
PingshanStreet;PingshanStreet1;PS1180;1;2019-04-21 09:55:00;;;;cmn;cmnSSIDv3;2,0;5,0;2,0;3,0;2,0;5,0;3,0;2,0;2,0;5,0;5,0;2,0;1,0;1,0;5,0;5,0;1,0;1,0;1,0;1,0;1,0;1,0;20,0;35,0;Male;UniversityGraduate;;Employed;;;;;;Arriving;Alone;113,24;67,9;60,96;82,0;74,21;69,57;63,82;62,25;61,94;63,62;59,26;73,55;67,68;65,52;62,28;60,89;60,62;57,82;53,01;70,98;61,12;59,8;56,45;54,62;54,31;13,6;0,0;21,9;12,8;10,5;9,22;8,97;1,95;0,0;2,99;2,44;2,29;1,91;1,67;1,62;0,0273;0,0119;0,0751;0,0394;0,0361;0,0262;0,0197;0,0182;0,163;0,0;2,24;0,549;0,37;0,0665;0,0157;0,00964;0,0177;0,00323;0,134;0,0458;0,0291;0,0123;0,00568;0,00458;0,389;0,184;1,23;0,626;0,548;0,357;0,27;0,251;50,56;49,35;45,33;59,49;53,41;52,37;48,96;46,95;46,5;8,7;0,102;57,4;20,3;15,8;7,14;3,36;2,66;-0,94;-8,93;62,38;32,8;24,39;9,37;-5,09;-6,59
PingshanStreet;PingshanStreet2;PS2206;1;2019-04-22 09:47:00;;;;cmn;cmnSSIDv3;2,0;4,0;2,0;2,0;3,0;3,0;3,0;3,0;3,0;4,0;3,0;3,0;2,0;2,0;4,0;3,0;2,0;2,0;2,0;2,0;2,0;3,0;44,0;27,0;Female;SomeHighSchool;;Employed;;;;;;Arriving;Alone;128,1;71,52;59,15;83,67;76,75;74,92;69,13;62,67;61,54;66,5;57,38;76,06;71,37;69,97;64,58;59,87;59,09;57,17;48,5;69,76;61,36;59,93;55,45;52,2;51,58;13,6;0,0;25,8;12,7;10,0;8,12;7,78;1,85;0,0;3,19;2,39;2,26;1,85;1,43;1,37;0,0282;0,0108;0,124;0,0462;0,0401;0,026;0,0185;0,0168;0,154;0,0;1,34;0,433;0,324;0,0778;0,0133;0,00729;0,0205;0,00284;0,121;0,0477;0,0389;0,0161;0,00744;0,00592;0,439;0,189;1,53;0,713;0,61;0,411;0,296;0,276;49,06;47,38;40,96;61,39;52,0;50,56;47,09;44,66;44,01;9,9;0,035;84,5;23,6;18,5;7,92;3,61;2,81;-1,29;3,6;67,01;30,26;22,76;9,1;4,21;4,03
PingshanStreet;PingshanStreet1;PS1186;10;2019-04-21 10:28:00;;;;cmn;cmnSSIDv3;3,0;3,0;3,0;3,0;3,0;3,0;3,0;4,0;4,0;3,0;3,0;4,0;3,0;2,0;2,0;4,0;4,0;3,0;3,0;3,0;4,0;4,0;68,0;25,0;Male;SomePostgraduate;;Student;;;;;;Leaving;Alone;81,84;70,69;58,82;85,65;76,96;74,93;64,47;61,29;60,84;69,04;56,74;82,53;75,37;73,66;62,93;59,5;59,03;66,38;49,6;81,92;73,37;71,25;57,78;52,48;51,5;24,8;0,0;40,8;21,6;11,1;8,28;7,8;2,08;0,0;5,4;2,59;2,43;2,03;1,76;1,7;0,0273;0,0118;0,149;0,0497;0,0413;0,0244;0,0172;0,0159;0,326;0,0;2,67;1,03;0,708;0,188;0,0284;0,0151;0,0586;0,00783;0,22;0,165;0,136;0,0366;0,0142;0,0113;0,425;0,0552;2,1;0,848;0,65;0,36;0,261;0,24;58,85;52,33;42,4;71,08;64,76;62,78;50,19;45,4;44,58;16,0;0,211;127,0;42,6;33,0;11,9;4,63;3,55;-0,44;-2,66;62,18;40,91;34,29;19,84;12,15;8,88
PingshanStreet;PingshanStreet2;PS2211;10;2019-04-22 10:25:00;;;;cmn;cmnSSIDv3;2,0;4,0;3,0;2,0;4,0;1,0;4,0;3,0;3,0;2,0;3,0;3,0;2,0;2,0;2,0;5,0;3,0;2,0;2,0;1,0;1,0;3,0;36,0;24,0;Female;HighSchoolGraduate;;Other;;;;;;Staying;Alone;76,76;77,12;60,29;92,97;82,67;80,98;72,29;65,34;64,13;70,89;58,24;88,72;76,71;74,47;66,81;60,76;59,88;61,06;49,86;75,86;67,05;64,45;57,08;52,17;51,29;17,8;0,0;33,0;15,8;10,8;8,34;7,99;2,08;0,0;3,96;2,57;2,45;2,04;1,76;1,7;0,0271;0,0103;0,142;0,0448;0,0381;0,025;0,0176;0,0161;0,181;0,0;2,03;0,534;0,374;0,0898;0,0137;0,0078;0,0416;0,00445;0,187;0,0956;0,0734;0,0368;0,0115;0,00853;0,473;0,18;1,78;0,842;0,677;0,425;0,31;0,288;53,61;50,13;42,92;65,12;58,41;55,89;49,48;45,19;44,3;13,9;0,215;126,0;34,2;26,9;10,9;4,18;3,14;-1,81;3,24;72,73;35,79;26,87;14,59;8,04;6,26
PingshanStreet;PingshanStreet1;PS1186;11;2019-04-21 10:28:00;;;;cmn;cmnSSIDv3;1,0;2,0;2,0;2,0;3,0;2,0;3,0;4,0;4,0;2,0;5,0;2,0;4,0;3,0;1,0;4,0;3,0;3,0;4,0;4,0;2,0;2,0;60,0;26,0;Female;SomePostgraduate;;Student;;;;;;Leaving;Alone;81,84;70,69;58,82;85,65;76,96;74,93;64,47;61,29;60,84;69,04;56,74;82,53;75,37;73,66;62,93;59,5;59,03;66,38;49,6;81,92;73,37;71,25;57,78;52,48;51,5;24,8;0,0;40,8;21,6;11,1;8,28;7,8;2,08;0,0;5,4;2,59;2,43;2,03;1,76;1,7;0,0273;0,0118;0,149;0,0497;0,0413;0,0244;0,0172;0,0159;0,326;0,0;2,67;1,03;0,708;0,188;0,0284;0,0151;0,0586;0,00783;0,22;0,165;0,136;0,0366;0,0142;0,0113;0,425;0,0552;2,1;0,848;0,65;0,36;0,261;0,24;58,85;52,33;42,4;71,08;64,76;62,78;50,19;45,4;44,58;16,0;0,211;127,0;42,6;33,0;11,9;4,63;3,55;-0,44;-2,66;62,18;40,91;34,29;19,84;12,15;8,88
PingshanStreet;PingshanStreet2;PS2212;11;2019-04-22 10:30:00;;;;cmn;cmnSSIDv3;3,0;4,0;2,0;1,0;2,0;4,0;2,0;2,0;2,0;4,0;3,0;3,0;2,0;3,0;4,0;4,0;3,0;2,0;2,0;2,0;2,0;2,0;40,0;23,0;Female;SomePostgraduate;;Student;;;;;;Staying;Couple;109,52;73,16;59,14;87,58;79,27;76,28;69,12;63,92;62,8;68,15;56,94;80,18;73,17;71,44;66,05;61,59;60,56;61,57;49,06;75,05;66,76;65,1;58,97;54,12;52,93;18,7;0,0;35,6;17,0;12,2;8,95;8,32;1,92;0,0;3,42;2,46;2,3;1,89;1,57;1,49;0,0308;0,0117;0,21;0,0511;0,0438;0,028;0,0192;0,0173;0,193;0,0;1,66;0,559;0,422;0,0991;0,0164;0,00826;0,0505;0,0053;0,361;0,15;0,0972;0,0364;0,0121;0,00891;0,399;0,0561;1,75;0,637;0,554;0,371;0,283;0,26;54,0;51,36;42,14;68,15;58,3;56,68;50,9;46,44;45,51;12,9;0,134;145,0;30,8;24,7;10,3;4,53;3,51;-1,2;-8,32;68,5;35,22;28,55;9,01;-5,6;-6,37
PingshanStreet;PingshanStreet1;PS1187;12;2019-04-21 10:34:00;;;;cmn;cmnSSIDv3;1,0;3,0;3,0;2,0;2,0;4,0;1,0;2,0;1,0;3,0;2,0;2,0;2,0;3,0;3,0;4,0;2,0;1,0;0,0;2,0;1,0;1,0;20,0;23,0;Male;SomeCollege;;Employed;;;;;;Leaving;Alone;165,18;66,25;59,86;78,67;69,22;68,45;65,34;62,81;62,11;65,01;57,74;77,37;68,02;67,17;64,27;61,31;60,58;60,66;50,24;77,81;63,97;62,58;58,99;54,96;53,69;16,3;0,0;38,0;15,3;12,4;9,74;9,08;2,02;0,0;5,72;2,47;2,35;1,97;1,75;1,69;0,0291;0,0113;0,151;0,0443;0,0399;0,0277;0,0195;0,0177;0,185;0,0;2,84;0,557;0,386;0,0831;0,0164;0,00912;0,0224;0,00431;0,21;0,051;0,0397;0,0182;0,00722;0,00606;0,409;0,196;2,22;0,646;0,553;0,373;0,29;0,271;53,18;51,3;43,08;69,11;55,91;54,95;51,23;47,64;46,53;10,7;0,267;140,0;25,2;19,5;8,61;4,01;3,16;-1,77;-3,92;54,42;36,63;28,89;11,79;3,83;1,93
PingshanStreet;PingshanStreet2;PS2212;12;2019-04-22 10:30:00;;;;cmn;cmnSSIDv3;3,0;4,0;3,0;2,0;4,0;2,0;3,0;3,0;4,0;2,0;3,0;3,0;2,0;2,0;2,0;4,0;3,0;2,0;4,0;1,0;1,0;1,0;36,0;23,0;Male;SomePostgraduate;;Student;;;;;;Staying;Couple;109,52;73,16;59,14;87,58;79,27;76,28;69,12;63,92;62,8;68,15;56,94;80,18;73,17;71,44;66,05;61,59;60,56;61,57;49,06;75,05;66,76;65,1;58,97;54,12;52,93;18,7;0,0;35,6;17,0;12,2;8,95;8,32;1,92;0,0;3,42;2,46;2,3;1,89;1,57;1,49;0,0308;0,0117;0,21;0,0511;0,0438;0,028;0,0192;0,0173;0,193;0,0;1,66;0,559;0,422;0,0991;0,0164;0,00826;0,0505;0,0053;0,361;0,15;0,0972;0,0364;0,0121;0,00891;0,399;0,0561;1,75;0,637;0,554;0,371;0,283;0,26;54,0;51,36;42,14;68,15;58,3;56,68;50,9;46,44;45,51;12,9;0,134;145,0;30,8;24,7;10,3;4,53;3,51;-1,2;-8,32;68,5;35,22;28,55;9,01;-5,6;-6,37
PingshanStreet;PingshanStreet1;PS1187;13;2019-04-21 10:35:00;;;;cmn;cmnSSIDv3;4,0;4,0;4,0;2,0;2,0;4,0;3,0;2,0;2,0;4,0;3,0;3,0;2,0;1,0;4,0;3,0;3,0;4,0;3,0;4,0;5,0;4,0;80,0;28,0;Female;UniversityGraduate;;Employed;;;;;;Leaving;Couple;165,18;66,25;59,86;78,67;69,22;68,45;65,34;62,81;62,11;65,01;57,74;77,37;68,02;67,17;64,27;61,31;60,58;60,66;50,24;77,81;63,97;62,58;58,99;54,96;53,69;16,3;0,0;38,0;15,3;12,4;9,74;9,08;2,02;0,0;5,72;2,47;2,35;1,97;1,75;1,69;0,0291;0,0113;0,151;0,0443;0,0399;0,0277;0,0195;0,0177;0,185;0,0;2,84;0,557;0,386;0,0831;0,0164;0,00912;0,0224;0,00431;0,21;0,051;0,0397;0,0182;0,00722;0,00606;0,409;0,196;2,22;0,646;0,553;0,373;0,29;0,271;53,18;51,3;43,08;69,11;55,91;54,95;51,23;47,64;46,53;10,7;0,267;140,0;25,2;19,5;8,61;4,01;3,16;-1,77;-3,92;54,42;36,63;28,89;11,79;3,83;1,93
PingshanStreet;PingshanStreet2;PS2212;13;2019-04-22 10:31:00;;;;cmn;cmnSSIDv3;4,0;4,0;4,0;3,0;1,0;5,0;3,0;2,0;2,0;5,0;3,0;3,0;3,0;2,0;4,0;4,0;3,0;2,0;3,0;3,0;3,0;1,0;48,0;24,0;Male;UniversityGraduate;;Employed;;;;;;Staying;Alone;109,52;73,16;59,14;87,58;79,27;76,28;69,12;63,92;62,8;68,15;56,94;80,18;73,17;71,44;66,05;61,59;60,56;61,57;49,06;75,05;66,76;65,1;58,97;54,12;52,93;18,7;0,0;35,6;17,0;12,2;8,95;8,32;1,92;0,0;3,42;2,46;2,3;1,89;1,57;1,49;0,0308;0,0117;0,21;0,0511;0,0438;0,028;0,0192;0,0173;0,193;0,0;1,66;0,559;0,422;0,0991;0,0164;0,00826;0,0505;0,0053;0,361;0,15;0,0972;0,0364;0,0121;0,00891;0,399;0,0561;1,75;0,637;0,554;0,371;0,283;0,26;54,0;51,36;42,14;68,15;58,3;56,68;50,9;46,44;45,51;12,9;0,134;145,0;30,8;24,7;10,3;4,53;3,51;-1,2;-8,32;68,5;35,22;28,55;9,01;-5,6;-6,37
