locationid;pleasant;eventful;ISOPleasant;ISOEventful
EustonTap;2,0;4,0;-0,07322330470336316;0,5732233047033631
EustonTap;2,0;3,0;-0,6464466094067265;-0,14644660940672624
EustonTap;2,0;1,0;-0,6161165235168159;-0,3409902576697318
EustonTap;3,0;3,0;-9,197388681172371e-17;9,197388681172371e-17
EustonTap;2,0;3,0;-0,25000000000000006;0,2500000000000001
EustonTap;1,0;5,0;-0,6338834764831844;0,7803300858899109
EustonTap;2,0;2,0;-0,31066017177982147;0,08578643762690492
EustonTap;2,0;2,0;-0,2803300858899108;0,3054563517369943
EustonTap;2,0;4,0;-0,17677669529663698;0,5732233047033631
EustonTap;1,0;3,0;-0,38388347648318455;0,2196699141100894
EustonTap;2,0;2,0;-0,5303300858899109;0,012563132923541859
EustonTap;1,0;4,0;-0,5303300858899107;0,676776695296637
EustonTap;4,0;4,0;0,1767766952966367;0,3232233047033631
EustonTap;3,0;4,0;-0,0732233047033632;0,5732233047033631
EustonTap;2,0;4,0;-0,2803300858899107;0,8232233047033631
EustonTap;4,0;4,0;-0,07322330470336316;0,4696699141100894
EustonTap;2,0;4,0;-0,42677669529663703;0,17677669529663692
EustonTap;3,0;3,0;-9,197388681172371e-17;9,197388681172371e-17
EustonTap;2,0;2,0;-0,13388347648318455;0,159009742330268
EustonTap;1,0;3,0;0,012563132923541607;-0,32322330470336325
EustonTap;4,0;4,0;-0,14644660940672632;0,2928932188134525
EustonTap;2,0;4,0;-0,0732233047033632;0,23743686707645822
EustonTap;3,0;4,0;0,10355339059327372;0,6035533905932737
EustonTap;2,0;3,0;-0,0732233047033633;0,17677669529663692
EustonTap;1,0;4,0;-0,4874368670764582;0,7196699141100894
EustonTap;3,0;3,0;-0,25000000000000017;0,04289321881345237
EustonTap;3,0;3,0;-9,197388681172371e-17;9,197388681172371e-17
EustonTap;2,0;4,0;-0,32322330470336325;0,030330085889910607
EustonTap;3,0;2,0;-0,29289321881345265;-0,10355339059327377
EustonTap;4,0;2,0;-0,15900974233026824;0,01256313292354195
EustonTap;5,0;4,0;0,25;0,45710678118654763
EustonTap;3,0;3,0;0,07322330470336298;0,07322330470336316
EustonTap;2,0;3,0;-0,17677669529663703;0,5732233047033631
EustonTap;4,0;3,0;0,030330085889910423;-0,17677669529663675
EustonTap;4,0;3,0;0,14644660940672605;0,0
EustonTap;5,0;5,0;0,10355339059327358;0,10355339059327377
EustonTap;4,0;4,0;0,17677669529663675;0,17677669529663684
EustonTap;3,0;3,0;-9,197388681172371e-17;0,14644660940672613
EustonTap;4,0;2,0;0,10355339059327354;-0,5
EustonTap;2,0;2,0;-0,3232233047033633;0,012563132923541859
EustonTap;2,0;4,0;-0,38388347648318444;0,8232233047033632
EustonTap;4,0;2,0;0,07322330470336298;0,07322330470336316
EustonTap;3,0;3,0;-0,10355339059327391;0,14644660940672632
EustonTap;3,0;5,0;-0,17677669529663706;0,2803300858899107
EustonTap;4,0;4,0;0,060660171779821116;0,060660171779821304
EustonTap;2,0;5,0;-0,20710678118654768;0,7071067811865476
EustonTap;2,0;3,0;-0,35355339059327384;0,14644660940672624
EustonTap;2,0;4,0;-0,25000000000000006;0,5000000000000002
EustonTap;4,0;3,0;-0,26256313292354194;-0,07322330470336316
EustonTap;2,0;2,0;-0,29289321881345265;-0,5000000000000001
EustonTap;2,0;4,0;-0,28033008588991076;0,17677669529663692
EustonTap;1,0;4,0;-0,3535533905932738;0,6035533905932737
EustonTap;1,0;3,0;-0,6035533905932738;0,1893398282201787
EustonTap;3,0;3,0;-0,0732233047033632;0,07322330470336316
EustonTap;2,0;5,0;-0,28033008588991076;0,676776695296637
EustonTap;2,0;4,0;0,14644660940672613;0,35355339059327384
MarchmontGarden;2,0;2,0;-0,28033008588991076;-0,030330085889910607
MarchmontGarden;4,0;2,0;0,24999999999999994;-0,25
MarchmontGarden;4,0;4,0;0,35355339059327373;0,20710678118654754
MarchmontGarden;5,0;1,0;0,7071067811865475;-0,5000000000000001
MarchmontGarden;4,0;2,0;0,28033008588991054;-0,07322330470336326
MarchmontGarden;4,0;3,0;0,42677669529663687;-0,07322330470336316
MarchmontGarden;4,0;4,0;0,17677669529663678;0,17677669529663692
MarchmontGarden;3,0;2,0;0,24999999999999986;-0,35355339059327384
MarchmontGarden;5,0;4,0;0,8535533905932737;0,20710678118654754
MarchmontGarden;3,0;2,0;0,07322330470336298;-0,28033008588991054
MarchmontGarden;5,0;4,0;0,5606601717798212;-0,4393398282201788
MarchmontGarden;3,0;3,0;-0,17677669529663698;0,07322330470336316
MarchmontGarden;2,0;3,0;-0,5000000000000001;0,14644660940672624
MarchmontGarden;3,0;3,0;-9,197388681172371e-17;9,197388681172371e-17
MarchmontGarden;1,0;4,0;-0,45710678118654763;0,6464466094067263
MarchmontGarden;2,0;1,0;-0,13388347648318452;0,012563132923541859
MarchmontGarden;4,0;4,0;0,1464466094067261;0,0
MarchmontGarden;3,0;3,0;-1,3796083021758556e-16;0,25
MarchmontGarden;4,0;5,0;0,10355339059327377;0,7071067811865476
MarchmontGarden;4,0;2,0;0,45710678118654746;-0,35355339059327384
MarchmontGarden;4,0;3,0;0,28033008588991054;-0,07322330470336307
MarchmontGarden;5,0;5,0;1,0;0,4142135623730951
MarchmontGarden;5,0;1,0;1,0;-0,3106601717798213
MarchmontGarden;5,0;4,0;0,7071067811865476;0,060660171779821304
MarchmontGarden;5,0;3,0;0,9267766952966369;0,030330085889910607
MarchmontGarden;4,0;2,0;0,573223304703363;0,030330085889910607
MarchmontGarden;5,0;2,0;0,26776695296636854;-0,10355339059327377
MarchmontGarden;3,0;3,0;0,2196699141100892;-0,2196699141100894
MarchmontGarden;5,0;4,0;0,9267766952966369;-0,07322330470336316
MarchmontGarden;2,0;3,0;0,10355339059327365;0,29289321881345237
MarchmontGarden;4,0;2,0;0,6035533905932736;-0,35355339059327384
MarchmontGarden;4,0;3,0;0,6464466094067262;-0,10355339059327386
MarchmontGarden;5,0;4,0;0,31066017177982114;0,3535533905932738
MarchmontGarden;4,0;5,0;0,24999999999999994;0,7071067811865477
MarchmontGarden;3,0;2,0;-0,3232233047033633;-0,17677669529663684
MarchmontGarden;4,0;2,0;0,42677669529663675;-0,2803300858899107
MarchmontGarden;5,0;2,0;0,6338834764831843;-0,2196699141100894
MarchmontGarden;4,0;3,0;0,573223304703363;-0,2803300858899107
MarchmontGarden;4,0;3,0;0,7499999999999999;-0,2500000000000001
MarchmontGarden;2,0;4,0;-0,42677669529663703;0,07322330470336316
MarchmontGarden;5,0;3,0;0,42677669529663675;0,07322330470336316
MarchmontGarden;4,0;3,0;-0,14644660940672638;0,04289321881345256
MarchmontGarden;1,0;4,0;-0,42677669529663703;-0,07322330470336298
MarchmontGarden;5,0;3,0;0,6035533905932736;-0,10355339059327377
MarchmontGarden;4,0;3,0;0,49999999999999983;0,0
MarchmontGarden;3,0;4,0;-0,04289321881345265;0,04289321881345256
MarchmontGarden;4,0;2,0;-0,21966991411008943;-0,07322330470336307
MarchmontGarden;5,0;2,0;0,7803300858899106;-0,32322330470336313
MarchmontGarden;5,0;5,0;0,5606601717798212;0,6035533905932738
MarchmontGarden;5,0;2,0;0,6767766952966368;-0,07322330470336316
MarchmontGarden;3,0;1,0;-0,46966991411008957;-0,38388347648318444
MarchmontGarden;4,0;4,0;0,5303300858899105;0,13388347648318438
