locationid;pleasant;eventful;ISOPleasant;ISOEventful
SanMarco;2,0;5,0;-0,2803300858899108;0,3409902576697319
SanMarco;4,0;5,0;0,0;1,0
SanMarco;2,0;5,0;0,030330085889910697;0,7803300858899108
SanMarco;4,0;3,0;0,28033008588991054;0,4696699141100893
SanMarco;4,0;4,0;0,030330085889910513;0,3661165235168156
SanMarco;3,0;4,0;0,1893398282201785;0,10355339059327377
SanMarco;3,0;5,0;0,13388347648318438;0,5303300858899106
SanMarco;5,0;5,0;0,5606601717798213;0,8535533905932737
SanMarco;5,0;5,0;0,5;0,2677669529663688
MonumentoGaribaldi;4,0;5,0;0,5303300858899106;0,3409902576697319
MonumentoGaribaldi;4,0;2,0;0,2071067811865474;-0,25
MonumentoGaribaldi;3,0;3,0;0,46966991411008924;-0,07322330470336316
MonumentoGaribaldi;5,0;3,0;0,8535533905932737;-0,14644660940672632
MonumentoGaribaldi;4,0;4,0;0,6767766952966368;0,17677669529663692
MonumentoGaribaldi;1,0;4,0;0,07322330470336312;0,32322330470336313
MonumentoGaribaldi;4,0;4,0;0,17677669529663684;0,030330085889910697
MonumentoGaribaldi;4,0;3,0;0,42677669529663675;-0,17677669529663692
SanMarco;4,0;4,0;0,42677669529663687;0,17677669529663692
SanMarco;4,0;3,0;0,42677669529663675;-0,17677669529663675
SanMarco;3,0;4,0;0,10355339059327368;0,29289321881345237
SanMarco;3,0;4,0;0,07322330470336298;0,32322330470336325
SanMarco;4,0;4,0;0,20710678118654743;0,39644660940672616
SanMarco;5,0;4,0;0,42677669529663664;0,07322330470336316
SanMarco;5,0;4,0;0,5606601717798212;0,6464466094067263
SanMarco;4,0;4,0;0,3838834764831843;0,573223304703363
SanMarco;4,0;3,0;0,6035533905932736;0,04289321881345256
SanMarco;5,0;5,0;0,6338834764831843;0,2803300858899107
SanMarco;4,0;5,0;0,6035533905932737;0,7071067811865476
SanMarco;4,0;4,0;0,5303300858899106;0,5303300858899108
SanMarco;2,0;4,0;-0,25;0,6464466094067263
SanMarco;3,0;4,0;-0,0732233047033632;0,5732233047033631
SanMarco;4,0;3,0;0,3232233047033629;0,11611652351681553
SanMarco;2,0;4,0;-0,32322330470336313;0,5732233047033631
SanMarco;4,0;4,0;0,28033008588991054;0,36611652351681556
SanMarco;2,0;3,0;-0,10355339059327391;0,14644660940672632
SanMarco;3,0;4,0;0,1767766952966368;0,4696699141100893
SanMarco;2,0;4,0;-0,10355339059327391;0,5
