locationid;groupid;recordid;nombre_audio;pitch_f0_hz_mean;pitch_f0_hz_std;inharmonicity_mean;inharmonicity_std;chroma_mean;chroma_std;spectral_centroid_mean;spectral_centroid_std;spectral_spread_mean;spectral_spread_std;spectral_skewness_mean;spectral_skewness_std;spectral_flatness_mean;spectral_flatness_std;spectral_flux_mean;spectral_flux_std;spectral_rolloff_mean;spectral_rolloff_std;rms_energy_mean;rms_energy_std;zero_crossing_rate_mean;zero_crossing_rate_std;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_mean;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_mean;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_mean;mfcc_10_std;mfcc_11_mean;mfcc_11_std;mfcc_12_mean;mfcc_12_std;mfcc_13_mean;mfcc_13_std;mfcc_14_mean;mfcc_14_std;mfcc_15_mean;mfcc_15_std;mfcc_16_mean;mfcc_16_std;mfcc_17_mean;mfcc_17_std;mfcc_18_mean;mfcc_18_std;mfcc_19_mean;mfcc_19_std;mfcc_20_mean;mfcc_20_std
RussellSq;RS330;1197;rs330;68,5292990338792;7,082752603043416;0,06461702528152002;0,0787948288398913;0,75551814;0,18368535;1861,0324501441567;268,2161878584324;3179,499462775128;188,81058007110025;14,359185;2,423985;0,0006558229;0,00047043015;1,3162607;0,2888778;4220,913510529891;646,3921806959107;0,07886923;0,020820769;0,017047384510869564;0,007788797055334141;-255,65521;7,114984;148,39429;6,3876963;-15,106709;4,7223344;48,363995;4,5270224;3,1243055;5,172896;25,691595;5,057519;0,35604873;4,688429;19,95077;4,1709695;7,5930367;4,1104584;11,416855;4,1423073;6,418641;4,183711;3,810085;3,9790893;1,7465806;4,0261607;4,704283;4,0479326;8,644686;3,8622084;2,561679;3,712733;6,3891907;3,8632164;0,81709284;3,8007033;3,091506;3,7886918;0,50164104;3,7398715
RussellSq;RS331;1185;rs331;67,21530224794228;5,44772339796419;0,044610173844901096;0,06527277426522209;0,7348896;0,19728544;1930,0256302141274;292,8651445859679;3314,876294303699;253,95880085428084;14,387641;2,7534943;0,00090591237;0,00066211814;1,3377665;0,2864346;4170,100868026601;689,4746542605582;0,077616364;0,020533852;0,018487259735657104;0,007826396804615218;-250,72429;7,6248736;147,98006;7,6594057;-15,02423;5,404298;44,345867;5,18941;10,477035;5,102025;26,250776;5,4001884;-3,0015135;4,7310405;15,2489195;4,4402966;2,250665;4,4678288;14,334763;4,383747;2,9036455;4,280231;6,7489576;4,215806;-1,4890581;3,9173014;7,202234;4,139542;5,3951507;4,019593;2,327384;3,9431367;4,1857796;3,843762;2,722107;3,8320904;1,9987085;3,9668777;1,2722968;3,8366656
RussellSq;RS331;1186;rs331;67,21530224794228;5,44772339796419;0,044610173844901096;0,06527277426522209;0,7348896;0,19728544;1930,0256302141274;292,8651445859679;3314,876294303699;253,95880085428084;14,387641;2,7534943;0,00090591237;0,00066211814;1,3377665;0,2864346;4170,100868026601;689,4746542605582;0,077616364;0,020533852;0,018487259735657104;0,007826396804615218;-250,72429;7,6248736;147,98006;7,6594057;-15,02423;5,404298;44,345867;5,18941;10,477035;5,102025;26,250776;5,4001884;-3,0015135;4,7310405;15,2489195;4,4402966;2,250665;4,4678288;14,334763;4,383747;2,9036455;4,280231;6,7489576;4,215806;-1,4890581;3,9173014;7,202234;4,139542;5,3951507;4,019593;2,327384;3,9431367;4,1857796;3,843762;2,722107;3,8320904;1,9987085;3,9668777;1,2722968;3,8366656
RussellSq;RS331;1187;rs331;67,21530224794228;5,44772339796419;0,044610173844901096;0,06527277426522209;0,7348896;0,19728544;1930,0256302141274;292,8651445859679;3314,876294303699;253,95880085428084;14,387641;2,7534943;0,00090591237;0,00066211814;1,3377665;0,2864346;4170,100868026601;689,4746542605582;0,077616364;0,020533852;0,018487259735657104;0,007826396804615218;-250,72429;7,6248736;147,98006;7,6594057;-15,02423;5,404298;44,345867;5,18941;10,477035;5,102025;26,250776;5,4001884;-3,0015135;4,7310405;15,2489195;4,4402966;2,250665;4,4678288;14,334763;4,383747;2,9036455;4,280231;6,7489576;4,215806;-1,4890581;3,9173014;7,202234;4,139542;5,3951507;4,019593;2,327384;3,9431367;4,1857796;3,843762;2,722107;3,8320904;1,9987085;3,9668777;1,2722968;3,8366656
StPaulsCross;SC101;1134;sc101;78,10320381270985;36,31015345916524;0,15537867444544423;0,07526084371308393;0,6401752;0,25637004;1566,7842165155737;658,1009498927249;2953,748236950832;663,745337903075;11,373269;2,68605;0,00081298256;0,0020101324;1,6525425;0,95204335;2850,644979152189;1689,0717158162001;0,046886463;0,012710789;0,018530595791348158;0,014047194808002946;-311,82657;34,666126;185,86162;23,577358;-1,1211457;12,831926;28,625969;11,884864;5,8020463;10,026644;19,09544;8,150684;0,017763054;8,272599;10,161512;6,4451795;2,280487;7,193581;2,637562;7,23067;3,2062626;6,352293;4,078014;5,6836443;0,8987971;5,596103;3,5300884;5,5969305;5,5007086;5,1985507;2,3115058;5,4245453;3,183023;5,239999;1,9839962;4,8611593;2,4155676;5,0305486;1,5087266;4,8574924
StPaulsCross;SC101;959;sc101;78,10320381270985;36,31015345916524;0,15537867444544423;0,07526084371308393;0,6401752;0,25637004;1566,7842165155737;658,1009498927249;2953,748236950832;663,745337903075;11,373269;2,68605;0,00081298256;0,0020101324;1,6525425;0,95204335;2850,644979152189;1689,0717158162001;0,046886463;0,012710789;0,018530595791348158;0,014047194808002946;-311,82657;34,666126;185,86162;23,577358;-1,1211457;12,831926;28,625969;11,884864;5,8020463;10,026644;19,09544;8,150684;0,017763054;8,272599;10,161512;6,4451795;2,280487;7,193581;2,637562;7,23067;3,2062626;6,352293;4,078014;5,6836443;0,8987971;5,596103;3,5300884;5,5969305;5,5007086;5,1985507;2,3115058;5,4245453;3,183023;5,239999;1,9839962;4,8611593;2,4155676;5,0305486;1,5087266;4,8574924
StPaulsCross;SC102;1135;sc102;70,72614971732926;11,845713130543752;0,09163493757375864;0,07311198965410935;0,7519475;0,19075763;1660,2783249146476;556,90154831657;3331,627854023074;600,0142845668121;14,526737;3,0405607;0,0007334978;0,0015916461;1,5172936;0,85091513;3101,081314878893;1642,2765661180792;0,053650394;0,028537387;0,013467438905709343;0,00807809955024595;-316,8789;24,261745;162,09975;13,768204;7,7484903;9,911062;23,681467;8,396818;7,293756;7,0293684;16,282177;6,628161;4,310951;5,7077;10,788841;5,5283995;8,722755;5,125198;5,4661527;5,3155947;6,443754;5,0693;4,7946854;4,458162;4,4290853;4,2799854;5,788747;4,1309705;7,639721;4,468263;3,6759672;4,359202;4,262129;4,245986;3,8519166;4,3929567;3,1412947;4,2713017;1,9756435;4,254878
StPaulsCross;SC102;1136;sc102;70,72614971732926;11,845713130543752;0,09163493757375864;0,07311198965410935;0,7519475;0,19075763;1660,2783249146476;556,90154831657;3331,627854023074;600,0142845668121;14,526737;3,0405607;0,0007334978;0,0015916461;1,5172936;0,85091513;3101,081314878893;1642,2765661180792;0,053650394;0,028537387;0,013467438905709343;0,00807809955024595;-316,8789;24,261745;162,09975;13,768204;7,7484903;9,911062;23,681467;8,396818;7,293756;7,0293684;16,282177;6,628161;4,310951;5,7077;10,788841;5,5283995;8,722755;5,125198;5,4661527;5,3155947;6,443754;5,0693;4,7946854;4,458162;4,4290853;4,2799854;5,788747;4,1309705;7,639721;4,468263;3,6759672;4,359202;4,262129;4,245986;3,8519166;4,3929567;3,1412947;4,2713017;1,9756435;4,254878
StPaulsCross;SC102;1137;sc102;70,72614971732926;11,845713130543752;0,09163493757375864;0,07311198965410935;0,7519475;0,19075763;1660,2783249146476;556,90154831657;3331,627854023074;600,0142845668121;14,526737;3,0405607;0,0007334978;0,0015916461;1,5172936;0,85091513;3101,081314878893;1642,2765661180792;0,053650394;0,028537387;0,013467438905709343;0,00807809955024595;-316,8789;24,261745;162,09975;13,768204;7,7484903;9,911062;23,681467;8,396818;7,293756;7,0293684;16,282177;6,628161;4,310951;5,7077;10,788841;5,5283995;8,722755;5,125198;5,4661527;5,3155947;6,443754;5,0693;4,7946854;4,458162;4,4290853;4,2799854;5,788747;4,1309705;7,639721;4,468263;3,6759672;4,359202;4,262129;4,245986;3,8519166;4,3929567;3,1412947;4,2713017;1,9756435;4,254878
StPaulsCross;SC103;1138;sc103;75,66202699785805;17,58432881840394;0,14832504010410272;0,08435858039753115;0,70758814;0,22168437;1467,3971215432218;436,99192113180425;2861,791043760651;530,5394387359629;12,447742;2,9249763;0,0005050818;0,0009819891;1,5604627;0,8295772;2582,4884496919917;1162,4996119998618;0,04447208;0,015589466;0,015883344562799454;0,007505729736562064;-320,55173;27,32672;188,67514;17,040436;-2,9801178;10,079672;20,618727;10,066039;4,633974;9,281592;16,62573;6,8308105;0,48970827;6,50413;11,427165;6,323458;8,426893;5,93405;5,4451213;5,6456966;5,852784;5,0644236;4,288632;5,43483;4,365491;5,314747;4,1518707;5,131055;7,2550693;4,579394;1,7693554;4,7430096;1,1614426;4,56371;2,6904886;4,675914;2,2919598;4,412612;1,378549;4,4445887
StPaulsCross;SC103;1139;sc103;75,66202699785805;17,58432881840394;0,14832504010410272;0,08435858039753115;0,70758814;0,22168437;1467,3971215432218;436,99192113180425;2861,791043760651;530,5394387359629;12,447742;2,9249763;0,0005050818;0,0009819891;1,5604627;0,8295772;2582,4884496919917;1162,4996119998618;0,04447208;0,015589466;0,015883344562799454;0,007505729736562064;-320,55173;27,32672;188,67514;17,040436;-2,9801178;10,079672;20,618727;10,066039;4,633974;9,281592;16,62573;6,8308105;0,48970827;6,50413;11,427165;6,323458;8,426893;5,93405;5,4451213;5,6456966;5,852784;5,0644236;4,288632;5,43483;4,365491;5,314747;4,1518707;5,131055;7,2550693;4,579394;1,7693554;4,7430096;1,1614426;4,56371;2,6904886;4,675914;2,2919598;4,412612;1,378549;4,4445887
